UID,bud,clim,nonorm,freez,noval,hum_blacklist,bbud,rep,ssat,repsat,round,hardlimit
ICOADS-302-LQWUUI,0,0,0,9,0,0,9,0,0,0,0,1
ICOADS-302-LQWUV3,0,0,0,9,0,0,9,0,0,0,0,1
ICOADS-302-LQWUV6,0,1,0,9,1,0,9,0,1,0,0,1
ICOADS-302-LQWUV2,0,1,0,9,1,0,9,0,1,0,0,1
ICOADS-302-LQWUTC,0,1,0,9,1,0,9,0,1,0,0,1
ICOADS-302-LQWUT1,0,0,0,9,0,0,9,0,0,0,0,1
ICOADS-302-LQWUT2,0,0,0,9,0,0,9,0,0,0,0,1
ICOADS-302-LQWUT3,0,0,0,9,0,0,9,0,0,0,0,1
ICOADS-302-LQWUT4,0,0,0,9,0,0,9,0,0,0,0,1
ICOADS-302-LQWUT5,0,0,0,9,0,0,9,0,0,0,0,1